size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,44.730,1.468
10,0.000,0.000,8.914,1.427
100,0.005,0.003,8.084,1.466
1000,0.053,0.033,18.408,1.483
10000,1.336,0.452,10.710,1.485
100000,8.584,6.508,18.321,1.813
1000000,157.897,130.478,39.635,6.545
