size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.019,0.010,102.640,1.577
10,0.005,0.001,9.682,1.490
100,0.032,0.020,4.821,1.470
1000,0.347,0.267,7.033,1.491
10000,4.118,3.458,14.399,1.638
100000,54.072,44.888,40.407,2.302
1000000,629.513,609.576,171.231,12.280
