size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.055,0.011,5.769,1.560
10,0.003,0.002,1.590,1.542
100,0.028,0.017,1.630,1.510
1000,0.384,0.292,2.054,1.517
10000,4.218,3.561,6.676,1.723
100000,52.762,45.500,61.657,2.344
1000000,692.024,661.149,752.188,12.023
