size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,7.186,1.420
10,0.001,0.000,1.435,1.374
100,0.007,0.004,1.358,1.325
1000,0.076,0.064,1.515,1.396
10000,0.887,0.626,2.353,1.414
100000,10.114,8.112,11.636,1.607
1000000,110.920,115.617,124.039,3.408
