size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.060,0.009,5.888,1.530
10,0.003,0.002,1.506,1.422
100,0.027,0.017,1.565,1.473
1000,0.359,0.289,1.919,1.520
10000,4.615,3.714,5.748,1.653
100000,55.693,46.396,63.749,2.401
1000000,698.976,671.119,741.316,11.963
