size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.055,0.009,6.071,1.574
10,0.003,0.002,1.617,1.531
100,0.027,0.024,1.590,1.494
1000,0.363,0.225,1.950,1.515
10000,4.163,3.434,6.462,1.624
100000,53.251,45.635,57.780,2.436
1000000,696.848,660.206,753.207,11.538
