size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,29.406,1.369
10,0.001,0.000,5.070,1.367
100,0.007,0.003,7.910,1.335
1000,0.081,0.046,9.584,1.356
10000,0.779,0.553,19.830,1.397
100000,9.201,6.947,48.967,1.710
1000000,98.710,89.087,266.855,3.263
