size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,23.642,1.361
10,0.001,0.000,7.881,1.374
100,0.006,0.002,7.717,1.370
1000,0.056,0.040,16.085,1.381
10000,0.663,0.515,9.945,1.443
100000,8.367,6.486,18.428,1.628
1000000,108.044,110.200,37.455,3.866
