size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.058,0.009,5.940,1.544
10,0.003,0.002,1.639,1.572
100,0.027,0.028,1.575,1.462
1000,0.345,0.258,2.022,1.459
10000,4.127,3.423,6.737,1.575
100000,53.092,45.401,59.502,2.552
1000000,693.285,672.846,772.719,12.209
