size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.020,0.009,7.508,1.511
10,0.004,0.001,4.056,1.530
100,0.031,0.020,5.060,1.458
1000,0.335,0.239,6.378,1.416
10000,4.291,3.376,14.530,1.661
100000,53.251,46.884,45.619,2.470
1000000,694.634,656.741,178.062,10.242
