size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.022,0.010,7.472,1.439
10,0.004,0.001,3.919,1.493
100,0.031,0.021,4.665,1.412
1000,0.337,0.273,5.949,1.452
10000,4.205,3.251,13.605,1.546
100000,53.400,45.950,42.179,2.414
1000000,684.615,641.463,176.207,14.244
