size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.019,0.009,7.538,1.520
10,0.003,0.001,3.945,1.533
100,0.029,0.017,5.199,1.499
1000,0.360,0.291,6.419,1.517
10000,4.146,3.389,14.060,1.568
100000,51.934,46.783,39.934,2.382
1000000,670.807,645.979,170.617,9.974
