size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.059,0.008,5.885,1.527
10,0.003,0.001,1.538,1.427
100,0.024,0.015,1.502,1.379
1000,0.338,0.277,1.827,1.464
10000,4.445,3.524,6.391,1.568
100000,54.638,46.975,61.448,2.403
1000000,674.271,655.794,736.447,11.535
