size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.046,0.008,5.837,1.389
10,0.003,0.002,1.542,1.517
100,0.033,0.021,1.535,1.449
1000,0.387,0.268,1.969,1.457
10000,4.512,3.521,5.875,1.739
100000,50.862,47.039,63.976,2.465
1000000,699.194,677.307,748.351,11.063
