size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.022,0.012,7.447,1.506
10,0.004,0.001,4.050,1.442
100,0.030,0.019,5.086,1.453
1000,0.392,0.290,6.558,1.483
10000,4.480,3.301,14.466,1.580
100000,50.389,44.288,36.976,2.412
1000000,627.874,593.453,166.033,9.698
