size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.021,0.011,7.551,1.521
10,0.004,0.001,4.211,1.507
100,0.029,0.017,5.224,1.446
1000,0.339,0.242,6.616,1.527
10000,3.950,3.278,13.395,1.606
100000,51.299,43.900,40.343,2.517
1000000,677.655,657.732,172.950,10.554
