size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.067,0.011,28.149,1.595
10,0.004,0.002,1.647,11.283
100,0.040,0.016,1.644,1.599
1000,0.334,0.260,2.037,1.582
10000,4.164,3.463,6.604,1.683
100000,52.450,46.319,60.455,2.560
1000000,690.329,672.091,769.534,12.210
