size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,22.350,1.466
10,0.001,0.000,7.312,1.354
100,0.005,0.002,7.105,1.366
1000,0.055,0.034,16.080,1.322
10000,0.583,0.421,11.428,1.589
100000,7.613,6.290,19.162,1.648
1000000,111.868,110.286,35.874,5.468
