size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.071,0.011,5.910,1.520
10,0.003,0.002,1.490,1.431
100,0.042,0.021,1.573,1.437
1000,0.365,0.264,1.892,1.529
10000,3.800,3.298,6.068,1.677
100000,52.863,47.249,61.114,2.440
1000000,689.188,663.142,758.327,17.316
