size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.019,0.010,7.488,1.445
10,0.003,0.001,3.979,1.479
100,0.025,0.015,4.884,1.474
1000,0.324,0.265,5.914,1.406
10000,4.431,3.554,14.030,1.668
100000,54.235,46.996,42.758,2.588
1000000,683.999,657.900,167.658,13.984
