size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,15.883,1.376
10,0.001,0.000,4.960,1.314
100,0.005,0.002,5.351,1.169
1000,0.059,0.039,8.260,1.180
10000,0.652,0.407,18.860,1.404
100000,8.033,6.387,53.408,1.607
1000000,116.947,105.620,280.642,5.279
