size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.062,0.010,5.838,1.575
10,0.003,0.002,1.649,1.595
100,0.028,0.017,1.613,1.525
1000,0.345,0.259,1.939,1.599
10000,4.555,3.444,10.154,1.655
100000,52.928,46.769,90.866,2.764
1000000,708.642,686.914,890.110,11.819
