size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.024,0.011,7.385,1.429
10,0.004,0.001,4.016,1.459
100,0.036,0.016,5.277,1.506
1000,0.401,0.292,6.244,1.523
10000,4.005,3.312,14.046,1.564
100000,53.926,47.095,46.691,2.310
1000000,692.114,660.697,166.664,12.152
