size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,22.553,1.361
10,0.000,0.000,7.518,1.368
100,0.007,0.003,8.764,1.410
1000,0.056,0.036,14.758,1.388
10000,0.604,0.443,10.786,1.467
100000,8.209,6.633,20.139,1.674
1000000,112.232,122.559,37.791,3.907
