size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,5.807,1.334
10,0.000,0.000,3.307,1.308
100,0.005,0.002,3.996,1.315
1000,0.052,0.032,6.182,1.309
10000,0.630,0.455,14.866,1.328
100000,7.345,5.684,34.959,1.688
1000000,107.500,82.481,150.778,3.321
