size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.055,0.009,5.751,1.552
10,0.003,0.002,1.731,1.551
100,0.027,0.017,1.594,1.415
1000,0.366,0.284,2.021,1.363
10000,4.412,3.762,6.280,1.579
100000,51.441,48.370,60.291,2.637
1000000,678.047,676.945,767.410,12.048
