size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.018,0.009,7.362,1.424
10,0.003,0.001,3.788,1.382
100,0.028,0.016,5.715,1.364
1000,0.329,0.228,6.079,1.463
10000,5.177,3.835,14.228,1.514
100000,49.034,40.764,43.342,2.430
1000000,592.160,529.332,166.694,12.139
