size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.049,0.009,6.040,1.560
10,0.003,0.001,1.330,1.598
100,0.033,0.017,4.186,1.533
1000,0.334,0.259,2.067,1.575
10000,4.195,3.432,6.337,1.648
100000,54.795,46.130,60.700,2.671
1000000,678.780,654.022,767.070,11.751
