size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.053,0.009,6.021,1.586
10,0.003,0.002,1.579,1.440
100,0.027,0.017,1.619,1.560
1000,0.365,0.245,1.969,1.615
10000,4.443,3.818,6.840,1.548
100000,53.760,45.184,61.108,2.409
1000000,705.699,684.129,765.912,11.981
