size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.056,0.009,8.350,1.660
10,0.003,0.001,1.530,1.494
100,0.026,0.016,1.566,1.421
1000,0.352,0.267,1.950,1.485
10000,4.458,3.623,6.666,1.575
100000,55.734,47.336,60.918,2.433
1000000,710.232,658.095,751.450,10.762
