size,btree_put_ms,btree_get_ms,gpu_put_ms,gpu_get_ms
1,0.000,0.000,9.921,1.345
10,0.001,0.000,4.889,1.314
100,0.006,0.002,5.063,1.343
1000,0.054,0.036,7.571,1.370
10000,0.666,0.493,18.227,1.426
100000,8.122,6.571,51.882,1.673
1000000,111.484,85.006,267.852,2.995
